hotel,is_canceled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,agent,reservation_status,reservation_status_date,arrival_date,date_load,date_load_numeric
Resort Hotel,1,132,0,3,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-09-14,2016-01-05,2024-08-26,1724692037
Resort Hotel,1,13,8,20,2,0,Undefined,PRT,0,0,0,A,A,3,Canceled,2015-12-29,2016-01-05,2024-08-26,1724692037
Resort Hotel,0,86,0,1,2,0,HB,GBR,0,0,0,A,A,2,Check-Out,2016-01-07,2016-01-06,2024-08-26,1724692037
Resort Hotel,0,187,0,4,2,0,BB,DEU,0,0,0,D,D,2,Check-Out,2016-01-10,2016-01-06,2024-08-26,1724692037
Resort Hotel,0,85,0,4,2,0,BB,BRA,0,0,0,D,D,2,Check-Out,2016-01-10,2016-01-06,2024-08-26,1724692037
Resort Hotel,1,93,2,6,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2015-11-12,2016-01-06,2024-08-26,1724692037
Resort Hotel,1,93,2,6,2,0,BB,PRT,0,0,0,G,G,2,Canceled,2015-11-12,2016-01-06,2024-08-26,1724692037
Resort Hotel,1,0,0,1,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-07,2016-01-07,2024-08-26,1724692037
Resort Hotel,1,143,1,3,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-09-05,2016-01-07,2024-08-26,1724692037
Resort Hotel,1,223,2,5,2,0,BB,PRT,0,0,0,A,A,1,Canceled,2015-06-26,2016-01-07,2024-08-26,1724692037
Resort Hotel,1,117,2,5,1,0,HB,PRT,0,0,0,A,A,1,Canceled,2015-11-26,2016-01-07,2024-08-26,1724692037
Resort Hotel,1,13,0,2,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-12-28,2016-01-08,2024-08-26,1724692037
Resort Hotel,1,24,0,2,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-12-28,2016-01-08,2024-08-26,1724692037
Resort Hotel,1,2,0,2,2,0,BB,PRT,0,0,0,A,D,2,No-Show,2016-01-08,2016-01-08,2024-08-26,1724692037
Resort Hotel,0,59,0,2,2,0,BB,PRT,0,0,0,A,A,8,Check-Out,2016-01-10,2016-01-08,2024-08-26,1724692037
Resort Hotel,1,6,0,2,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-01-04,2016-01-08,2024-08-26,1724692037
Resort Hotel,1,11,1,2,2,0,BB,PRT,0,0,0,A,A,3,No-Show,2016-01-08,2016-01-08,2024-08-26,1724692037
Resort Hotel,1,19,1,2,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-01-06,2016-01-08,2024-08-26,1724692037
Resort Hotel,1,19,1,2,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-06,2016-01-08,2024-08-26,1724692037
Resort Hotel,0,74,2,2,2,0,BB,IRL,0,0,0,D,D,10,Check-Out,2016-01-12,2016-01-08,2024-08-26,1724692037
Resort Hotel,0,169,2,3,2,0,BB,GBR,0,0,0,E,E,2,Check-Out,2016-01-13,2016-01-08,2024-08-26,1724692037
Resort Hotel,1,200,8,20,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2015-09-21,2016-01-08,2024-08-26,1724692037
Resort Hotel,1,1,0,1,1,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-08,2016-01-09,2024-08-26,1724692037
Resort Hotel,1,28,0,1,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2016-01-05,2016-01-09,2024-08-26,1724692037
Resort Hotel,1,110,2,1,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-10-05,2016-01-09,2024-08-26,1724692037
Resort Hotel,1,15,2,5,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-12-30,2016-01-09,2024-08-26,1724692037
Resort Hotel,1,103,2,6,2,2,BB,PRT,0,0,0,G,G,2,Canceled,2015-10-05,2016-01-09,2024-08-26,1724692037
Resort Hotel,0,87,4,10,2,0,BB,DEU,0,0,0,A,A,1,Check-Out,2016-01-23,2016-01-09,2024-08-26,1724692037
Resort Hotel,1,177,2,4,1,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-09-04,2016-01-10,2024-08-26,1724692037
Resort Hotel,1,6,2,3,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-06,2016-01-10,2024-08-26,1724692037
Resort Hotel,1,99,2,10,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2015-10-28,2016-11-02,2024-08-26,1724692037
Resort Hotel,1,99,2,10,2,0,BB,PRT,0,0,0,D,D,2,No-Show,2016-01-12,2016-11-02,2024-08-26,1724692037
Resort Hotel,0,172,8,20,2,0,BB,GBR,0,0,0,A,A,3,Check-Out,2016-02-09,2016-11-02,2024-08-26,1724692037
Resort Hotel,1,284,8,20,2,0,BB,PRT,0,0,0,A,A,1,Canceled,2015-09-12,2016-11-02,2024-08-26,1724692037
Resort Hotel,1,122,12,30,2,0,BB,PRT,0,0,0,A,A,8,Canceled,2015-12-04,2016-11-02,2024-08-26,1724692037
Resort Hotel,0,0,0,0,2,0,BB,PRT,0,0,0,D,I,2,Check-Out,2016-01-13,2016-11-03,2024-08-26,1724692037
Resort Hotel,1,15,0,4,1,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-08,2016-11-03,2024-08-26,1724692037
Resort Hotel,1,34,0,2,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2015-12-26,2016-11-05,2024-08-26,1724692037
Resort Hotel,1,1,0,1,2,0,BB,PRT,0,0,0,E,E,2,No-Show,2016-01-16,2016-11-06,2024-08-26,1724692037
Resort Hotel,1,7,2,5,2,0,HB,PRT,0,0,0,D,D,2,Canceled,2016-01-15,2016-11-06,2024-08-26,1724692037
Resort Hotel,1,172,3,5,2,0,HB,PRT,0,0,0,A,A,2,Canceled,2015-09-21,2016-11-07,2024-08-26,1724692037
Resort Hotel,1,172,3,5,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-17,2016-11-07,2024-08-26,1724692037
Resort Hotel,1,12,1,0,1,0,BB,PRT,0,0,0,F,F,1,Canceled,2016-01-07,2016-11-08,2024-08-26,1724692037
Resort Hotel,1,31,1,2,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2015-12-26,2016-11-08,2024-08-26,1724692037
Resort Hotel,1,3,0,1,1,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-19,2016-11-09,2024-08-26,1724692037
Resort Hotel,1,34,0,3,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2015-12-26,2016-12-01,2024-08-26,1724692037
Resort Hotel,1,26,0,3,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2015-12-29,2016-12-01,2024-08-26,1724692037
Resort Hotel,1,3,0,1,1,0,BB,PRT,0,0,0,A,D,3,Canceled,2016-01-21,2016-12-02,2024-08-26,1724692037
Resort Hotel,0,101,0,2,2,0,HB,GBR,0,0,0,E,E,2,Check-Out,2016-01-24,2016-12-02,2024-08-26,1724692037
Resort Hotel,1,3,0,1,2,0,BB,PRT,0,0,0,A,D,3,Canceled,2016-01-21,2016-12-02,2024-08-26,1724692037
Resort Hotel,1,13,2,4,2,0,BB,PRT,0,0,0,D,D,2,No-Show,2016-01-22,2016-12-02,2024-08-26,1724692037
Resort Hotel,1,11,0,1,2,0,BB,PRT,0,0,0,A,D,2,No-Show,2016-01-23,2016-12-03,2024-08-26,1724692037
Resort Hotel,1,1,0,1,2,0,HB,PRT,0,0,0,E,F,2,No-Show,2016-01-23,2016-12-03,2024-08-26,1724692037
Resort Hotel,1,173,1,0,2,0,HB,PRT,0,0,0,A,A,2,Canceled,2015-08-10,2016-12-05,2024-08-26,1724692037
Resort Hotel,0,160,1,3,2,0,BB,GBR,0,0,0,E,E,2,Check-Out,2016-01-29,2016-12-05,2024-08-26,1724692037
Resort Hotel,0,154,0,1,2,0,BB,KOR,0,0,0,A,D,2,Check-Out,2016-01-27,2016-12-06,2024-08-26,1724692037
Resort Hotel,0,214,12,30,2,0,BB,GBR,0,0,0,D,D,8,Check-Out,2016-03-08,2016-12-06,2024-08-26,1724692037
Resort Hotel,1,16,0,2,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-16,2016-12-07,2024-08-26,1724692037
Resort Hotel,1,2,0,1,1,0,BB,PRT,0,0,0,A,A,1,Canceled,2016-01-26,2016-12-08,2024-08-26,1724692037
Resort Hotel,1,80,0,2,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-12-26,2016-12-08,2024-08-26,1724692037
Resort Hotel,1,33,0,3,1,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-20,2016-12-08,2024-08-26,1724692037
Resort Hotel,1,185,2,3,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-07-28,2016-12-08,2024-08-26,1724692037
Resort Hotel,1,48,0,2,2,0,HB,PRT,0,0,0,A,A,1,Canceled,2016-01-07,2016-12-09,2024-08-26,1724692037
Resort Hotel,1,157,2,5,2,0,HB,PRT,0,0,0,F,F,2,Canceled,2016-01-05,2016-12-09,2024-08-26,1724692037
Resort Hotel,1,15,0,1,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-18,2016-01-30,2024-08-26,1724692037
Resort Hotel,1,22,2,2,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-01-11,2016-01-31,2024-08-26,1724692037
Resort Hotel,1,13,1,0,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-01-27,2016-02-01,2024-08-26,1724692037
Resort Hotel,1,11,1,3,1,0,BB,PRT,0,0,0,A,D,9,Canceled,2016-01-25,2016-02-01,2024-08-26,1724692037
Resort Hotel,1,28,1,3,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2016-01-11,2016-02-01,2024-08-26,1724692037
Resort Hotel,0,101,2,5,2,0,BB,GBR,0,0,0,A,A,2,Check-Out,2016-02-08,2016-02-01,2024-08-26,1724692037
Resort Hotel,1,202,0,3,1,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-11-11,2016-02-02,2024-08-26,1724692037
Resort Hotel,1,133,5,15,2,0,BB,PRT,0,0,0,A,A,1,Canceled,2016-01-21,2016-02-02,2024-08-26,1724692037
Resort Hotel,1,4,0,2,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-01-30,2016-02-03,2024-08-26,1724692037
Resort Hotel,0,116,0,4,2,0,BB,GBR,0,0,0,F,F,2,Check-Out,2016-02-07,2016-02-03,2024-08-26,1724692037
Resort Hotel,1,100,0,4,2,0,BB,PRT,0,0,0,F,F,2,Canceled,2015-10-26,2016-02-03,2024-08-26,1724692037
Resort Hotel,0,97,0,4,2,0,BB,GBR,0,0,0,F,F,3,Check-Out,2016-02-07,2016-02-03,2024-08-26,1724692037
Resort Hotel,1,39,2,5,2,0,HB,PRT,0,0,0,A,A,6,Canceled,2016-01-12,2016-02-03,2024-08-26,1724692037
Resort Hotel,1,20,0,1,1,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-18,2016-02-04,2024-08-26,1724692037
Resort Hotel,1,142,0,3,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-01-20,2016-02-04,2024-08-26,1724692037
Resort Hotel,1,17,0,3,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-19,2016-02-04,2024-08-26,1724692037
Resort Hotel,1,26,1,3,2,1,BB,PRT,0,0,0,G,G,2,Canceled,2016-01-11,2016-02-04,2024-08-26,1724692037
Resort Hotel,1,83,1,3,2,2,BB,PRT,0,0,0,G,G,2,Canceled,2016-01-09,2016-02-04,2024-08-26,1724692037
Resort Hotel,1,99,4,8,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-12-25,2016-02-04,2024-08-26,1724692037
Resort Hotel,1,13,0,2,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-28,2016-02-05,2024-08-26,1724692037
Resort Hotel,1,2,0,2,2,1,BB,PRT,0,0,0,A,C,1,Canceled,2016-02-05,2016-02-05,2024-08-26,1724692037
Resort Hotel,1,18,1,2,2,1,BB,PRT,0,0,0,A,D,2,Canceled,2016-02-03,2016-02-05,2024-08-26,1724692037
Resort Hotel,0,88,2,2,2,0,BB,ESP,0,0,0,A,D,6,Check-Out,2016-02-09,2016-02-05,2024-08-26,1724692037
Resort Hotel,1,18,2,5,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-26,2016-02-05,2024-08-26,1724692037
Resort Hotel,0,211,2,6,2,0,HB,GBR,0,0,0,E,E,3,Check-Out,2016-02-13,2016-02-05,2024-08-26,1724692037
Resort Hotel,1,29,2,1,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-19,2016-02-06,2024-08-26,1724692037
Resort Hotel,1,12,2,1,2,2,BB,PRT,0,0,0,C,C,2,Canceled,2016-01-25,2016-02-06,2024-08-26,1724692037
Resort Hotel,1,22,2,1,3,1,BB,PRT,0,0,0,H,H,2,Canceled,2016-01-18,2016-02-06,2024-08-26,1724692037
Resort Hotel,1,155,2,2,2,0,HB,PRT,0,0,0,A,A,2,Canceled,2016-01-04,2016-02-06,2024-08-26,1724692037
Resort Hotel,0,94,2,2,2,0,BB,IRL,0,0,0,A,A,10,Check-Out,2016-02-10,2016-02-06,2024-08-26,1724692037
Resort Hotel,1,81,2,5,2,0,HB,PRT,0,0,0,A,A,2,Canceled,2016-01-18,2016-02-06,2024-08-26,1724692037
Resort Hotel,0,168,2,5,2,0,BB,DNK,0,0,0,E,E,2,Check-Out,2016-02-13,2016-02-06,2024-08-26,1724692037
Resort Hotel,1,120,4,6,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-01-04,2016-02-06,2024-08-26,1724692037
Resort Hotel,1,8,4,10,1,0,BB,PRT,0,0,0,A,A,6,Canceled,2016-02-02,2016-02-06,2024-08-26,1724692037
Resort Hotel,1,4,2,1,1,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-02-04,2016-02-07,2024-08-26,1724692037
Resort Hotel,1,111,1,0,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2015-11-11,2016-02-08,2024-08-26,1724692037
Resort Hotel,0,143,1,1,2,0,BB,CHN,0,0,0,D,D,2,Check-Out,2016-02-10,2016-02-08,2024-08-26,1724692037
Resort Hotel,1,102,1,2,2,0,HB,PRT,0,0,0,A,A,3,Canceled,2016-02-02,2016-02-08,2024-08-26,1724692037
Resort Hotel,1,5,1,3,2,2,BB,PRT,0,0,0,G,G,2,No-Show,2016-02-08,2016-02-08,2024-08-26,1724692037
Resort Hotel,0,117,1,3,2,0,BB,IRL,0,0,0,D,D,2,Check-Out,2016-02-12,2016-02-08,2024-08-26,1724692037
Resort Hotel,0,152,1,3,2,0,BB,IRL,0,0,0,D,G,2,Check-Out,2016-02-12,2016-02-08,2024-08-26,1724692037
Resort Hotel,1,32,1,4,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-01-12,2016-02-08,2024-08-26,1724692037
Resort Hotel,0,103,0,2,2,0,HB,FRA,0,0,0,A,A,3,Check-Out,2016-02-11,2016-02-09,2024-08-26,1724692037
Resort Hotel,1,103,0,2,2,0,HB,PRT,0,0,0,A,A,3,Canceled,2016-01-16,2016-02-09,2024-08-26,1724692037
Resort Hotel,0,103,0,2,2,0,HB,PRT,0,0,0,A,A,3,Check-Out,2016-02-11,2016-02-09,2024-08-26,1724692037
Resort Hotel,1,312,4,10,2,0,BB,PRT,0,0,0,A,A,1,Canceled,2015-09-12,2016-02-09,2024-08-26,1724692037
Resort Hotel,0,103,0,2,2,0,BB,NLD,0,0,0,E,E,2,Check-Out,2016-02-12,2016-02-10,2024-08-26,1724692037
Resort Hotel,0,103,0,3,2,0,BB,NLD,0,0,0,E,E,2,Check-Out,2016-02-13,2016-02-10,2024-08-26,1724692037
Resort Hotel,1,39,1,4,2,0,HB,PRT,0,0,0,A,A,6,Canceled,2016-01-27,2016-02-10,2024-08-26,1724692037
Resort Hotel,0,103,2,4,1,0,BB,NLD,0,0,0,A,D,2,Check-Out,2016-02-16,2016-02-10,2024-08-26,1724692037
Resort Hotel,1,7,0,1,2,0,BB,PRT,0,0,0,A,A,1,Canceled,2016-02-04,2016-02-11,2024-08-26,1724692037
Resort Hotel,1,64,1,3,2,0,BB,PRT,0,0,0,A,A,1,Canceled,2015-12-30,2016-02-11,2024-08-26,1724692037
Resort Hotel,1,64,1,3,1,0,BB,PRT,0,0,0,A,A,1,Canceled,2015-12-30,2016-02-11,2024-08-26,1724692037
Resort Hotel,1,27,0,3,3,1,BB,PRT,0,0,0,H,H,2,No-Show,2016-02-11,2016-02-11,2024-08-26,1724692037
Resort Hotel,0,230,2,3,2,0,BB,GBR,0,0,0,E,E,3,Check-Out,2016-02-16,2016-02-11,2024-08-26,1724692037
Resort Hotel,1,0,2,3,2,0,BB,PRT,0,0,0,E,E,3,Canceled,2016-02-11,2016-02-11,2024-08-26,1724692037
Resort Hotel,1,2,0,1,3,0,BB,PRT,0,0,0,D,D,6,No-Show,2016-02-12,2016-02-12,2024-08-26,1724692037
Resort Hotel,1,88,0,2,2,0,FB,PRT,0,0,0,A,A,1,Canceled,2016-02-05,2016-02-12,2024-08-26,1724692037
Resort Hotel,1,111,0,2,2,0,FB,PRT,0,0,0,A,A,3,Canceled,2016-01-26,2016-02-12,2024-08-26,1724692037
Resort Hotel,0,112,0,2,2,0,Undefined,ESP,0,0,0,A,A,1,Check-Out,2016-02-14,2016-02-12,2024-08-26,1724692037
Resort Hotel,0,112,0,2,3,0,Undefined,ESP,0,0,0,A,C,1,Check-Out,2016-02-14,2016-02-12,2024-08-26,1724692037
Resort Hotel,0,112,0,2,1,0,Undefined,ESP,0,0,0,A,A,1,Check-Out,2016-02-14,2016-02-12,2024-08-26,1724692037
Resort Hotel,1,112,0,2,2,0,FB,PRT,0,0,0,A,A,1,Canceled,2016-02-05,2016-02-12,2024-08-26,1724692037
Resort Hotel,1,35,0,2,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-20,2016-02-12,2024-08-26,1724692037
Resort Hotel,1,112,0,2,2,0,FB,PRT,0,0,0,A,A,1,Canceled,2016-02-10,2016-02-12,2024-08-26,1724692037
Resort Hotel,1,151,0,2,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-02-02,2016-02-12,2024-08-26,1724692037
Resort Hotel,1,25,0,2,2,0,HB,PRT,0,0,0,D,D,2,Canceled,2016-01-28,2016-02-12,2024-08-26,1724692037
Resort Hotel,1,7,1,2,2,0,BB,PRT,0,0,0,A,A,3,Canceled,2016-02-08,2016-02-12,2024-08-26,1724692037
Resort Hotel,1,47,1,2,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-19,2016-02-12,2024-08-26,1724692037
Resort Hotel,0,230,1,2,2,0,BB,GBR,0,0,0,D,D,2,Check-Out,2016-02-15,2016-02-12,2024-08-26,1724692037
Resort Hotel,1,32,0,1,2,0,BB,PRT,0,0,0,F,F,2,Canceled,2016-02-10,2016-02-13,2024-08-26,1724692037
Resort Hotel,1,38,0,1,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-16,2016-02-13,2024-08-26,1724692037
Resort Hotel,1,25,0,1,2,0,BB,PRT,0,0,0,A,D,6,Canceled,2016-02-11,2016-02-13,2024-08-26,1724692037
Resort Hotel,1,14,1,1,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-02-01,2016-02-13,2024-08-26,1724692037
Resort Hotel,0,203,2,5,2,0,BB,GBR,0,0,0,A,A,2,Check-Out,2016-02-20,2016-02-13,2024-08-26,1724692037
Resort Hotel,0,101,2,5,2,0,BB,FRA,0,0,0,D,D,6,Check-Out,2016-02-20,2016-02-13,2024-08-26,1724692037
Resort Hotel,1,161,6,15,2,2,BB,PRT,0,0,0,G,G,2,Canceled,2016-01-18,2016-02-13,2024-08-26,1724692037
Resort Hotel,1,20,1,0,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-01-27,2016-02-14,2024-08-26,1724692037
Resort Hotel,0,103,1,0,1,0,BB,BRA,0,0,0,A,D,2,Check-Out,2016-02-15,2016-02-14,2024-08-26,1724692037
Resort Hotel,1,18,2,1,2,0,BB,PRT,0,0,0,A,A,1,Canceled,2016-02-06,2016-02-14,2024-08-26,1724692037
Resort Hotel,1,41,2,2,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2016-01-14,2016-02-14,2024-08-26,1724692037
Resort Hotel,1,46,2,2,2,0,BB,PRT,0,0,0,A,A,1,Canceled,2016-01-25,2016-02-14,2024-08-26,1724692037
Resort Hotel,1,41,2,2,3,1,BB,PRT,0,0,0,H,H,2,Canceled,2016-01-14,2016-02-14,2024-08-26,1724692037
Resort Hotel,1,72,2,2,2,2,BB,PRT,0,0,0,H,H,2,Canceled,2016-01-04,2016-02-14,2024-08-26,1724692037
Resort Hotel,1,109,2,2,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2015-11-02,2016-02-14,2024-08-26,1724692037
Resort Hotel,0,117,2,4,2,1,BB,HUN,0,0,0,A,C,2,Check-Out,2016-02-20,2016-02-14,2024-08-26,1724692037
Resort Hotel,1,200,1,0,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-12-04,2016-02-15,2024-08-26,1724692037
Resort Hotel,0,133,1,1,2,0,BB,POL,0,0,0,A,A,8,Check-Out,2016-02-17,2016-02-15,2024-08-26,1724692037
Resort Hotel,1,41,1,3,2,2,BB,GBR,0,0,0,G,G,2,Canceled,2016-02-15,2016-02-15,2024-08-26,1724692037
Resort Hotel,1,192,1,5,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2015-08-17,2016-02-15,2024-08-26,1724692037
Resort Hotel,0,192,1,5,2,0,BB,GBR,0,0,0,E,E,2,Check-Out,2016-02-21,2016-02-15,2024-08-26,1724692037
Resort Hotel,0,188,1,5,2,1,BB,GBR,0,0,0,G,G,2,Check-Out,2016-02-21,2016-02-15,2024-08-26,1724692037
Resort Hotel,1,38,2,5,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2016-02-11,2016-02-15,2024-08-26,1724692037
Resort Hotel,1,118,3,6,2,0,BB,PRT,0,0,0,A,A,6,Canceled,2015-11-10,2016-02-15,2024-08-26,1724692037
Resort Hotel,0,232,2,6,2,0,BB,GBR,0,0,0,E,E,2,Check-Out,2016-02-24,2016-02-16,2024-08-26,1724692037
Resort Hotel,0,99,2,7,2,0,BB,IRL,0,0,0,D,D,10,Check-Out,2016-02-25,2016-02-16,2024-08-26,1724692037
Resort Hotel,0,131,0,2,2,0,BB,PRT,0,0,0,E,F,2,Check-Out,2016-02-19,2016-02-17,2024-08-26,1724692037
Resort Hotel,1,53,0,4,2,0,BB,PRT,0,0,0,G,G,2,Canceled,2015-12-31,2016-02-17,2024-08-26,1724692037
Resort Hotel,1,72,0,3,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2015-12-20,2016-02-17,2024-08-26,1724692037
Resort Hotel,1,44,2,6,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2016-02-01,2016-02-17,2024-08-26,1724692037
Resort Hotel,1,33,0,1,2,0,BB,PRT,0,0,0,H,H,2,Canceled,2016-01-25,2016-02-18,2024-08-26,1724692037
Resort Hotel,1,69,0,2,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-02-01,2016-02-19,2024-08-26,1724692037
Resort Hotel,1,21,0,2,2,0,BB,PRT,0,0,0,A,D,2,Canceled,2016-02-19,2016-02-19,2024-08-26,1724692037
Resort Hotel,1,35,0,2,2,0,BB,PRT,0,0,0,E,E,2,No-Show,2016-02-19,2016-02-19,2024-08-26,1724692037
Resort Hotel,1,2,0,2,2,0,HB,PRT,0,0,0,A,D,2,Canceled,2016-02-18,2016-02-19,2024-08-26,1724692037
Resort Hotel,1,34,2,3,3,0,HB,PRT,0,0,0,A,C,2,Canceled,2016-02-19,2016-02-19,2024-08-26,1724692037
Resort Hotel,0,150,2,5,1,0,BB,NLD,0,0,0,A,A,8,Check-Out,2016-02-26,2016-02-19,2024-08-26,1724692037
Resort Hotel,0,172,2,5,2,0,FB,IRL,0,0,0,E,E,1,Check-Out,2016-02-26,2016-02-19,2024-08-26,1724692037
Resort Hotel,1,10,0,2,2,0,BB,PRT,0,0,0,A,A,1,Canceled,2016-02-10,2016-02-19,2024-08-26,1724692037
Resort Hotel,1,29,0,1,2,0,HB,PRT,0,0,0,A,A,2,Canceled,2016-01-23,2016-02-20,2024-08-26,1724692037
Resort Hotel,1,1,0,1,2,0,BB,PRT,0,0,0,E,E,2,No-Show,2016-02-20,2016-02-20,2024-08-26,1724692037
Resort Hotel,1,5,0,1,2,0,HB,PRT,0,0,0,A,D,2,No-Show,2016-02-20,2016-02-20,2024-08-26,1724692037
Resort Hotel,1,26,0,1,2,1,BB,PRT,0,0,0,A,A,2,Canceled,2016-02-04,2016-02-20,2024-08-26,1724692037
Resort Hotel,1,100,2,1,2,0,BB,PRT,0,0,0,D,D,2,Canceled,2016-02-08,2016-02-20,2024-08-26,1724692037
Resort Hotel,0,100,2,1,2,0,BB,IRL,0,0,0,D,D,2,Check-Out,2016-02-23,2016-02-20,2024-08-26,1724692037
